Name,Gender,English,Kiswahili,Mathematics,Biology,Chemistry,Physics,Geography,CRE,Careers
Aile,Male,6,9,11,8,10,10,9,6,Education
Ailee,Male,8,11,6,9,11,9,7,9,Communications
Aileen,Female,8,7,8,12,11,10,11,10,Business and management
Ailene,Male,10,10,12,12,10,7,8,8,Architecture & Construction Jobs
Ailey,Female,8,8,7,12,9,10,10,11,Military and Security
Aili,Male,10,9,11,11,7,11,9,9,Architecture & Construction Jobs
Ailina,Female,10,11,8,10,9,12,9,11,Communications
Ailis,Male,8,8,8,12,7,12,9,12,Education
Ailsun,Male,8,8,12,12,8,10,10,10,Agriculture
Ailyn,Male,9,8,7,12,10,12,9,6,Law and public policy
Aime,Male,7,6,6,9,8,9,6,8,Education
Aime,Female,10,6,8,10,8,9,10,7,Education
Aimee,Male,9,10,9,11,12,6,11,6,Agriculture
Aimil,Female,11,8,6,6,12,11,9,9,Education
Aindrea,Female,6,11,10,10,6,8,6,10,Education
Ainslee,Female,7,11,6,11,7,6,8,9,Communications
Ainsley,Female,11,7,9,12,10,10,11,11,Computing
Ainslie,Male,6,6,6,9,9,7,6,6,Communications
ainswort,Male,8,6,8,9,6,9,9,6,Art
aire,Female,6,10,10,12,10,12,8,8,Military and Security
aitchiso,Female,11,9,12,6,12,10,9,7,Education
aitke,Female,9,7,6,11,10,9,10,11,Engineering
aitki,Male,11,8,12,9,10,10,7,11,Engineering
Aiyan,Male,6,12,9,7,8,6,12,7,Architecture & Construction Jobs
Ajay,Male,9,8,7,10,10,11,11,12,Agriculture
aker,Male,6,12,11,9,9,10,9,12,Communications
akeste,Male,9,12,12,11,6,12,10,11,Health and medicine
akiste,Male,10,9,7,11,7,8,6,7,Art
aksha,Male,9,8,9,8,7,7,12,7,Architecture & Construction Jobs
Alain,Male,6,6,12,8,7,8,6,6,Health and medicine
Alaine,Male,9,6,9,8,8,7,11,12,Education
Alameda,Female,12,9,8,12,10,7,7,8,Computing
Alana,Female,7,10,9,11,11,9,6,9,Military and Security
Alanah,Female,6,7,8,11,9,9,8,6,Art
Alane,Female,10,11,8,12,8,6,8,6,Computing
Alann,Female,8,8,6,7,9,12,12,8,Architecture & Construction Jobs
Alanna,Female,10,7,6,10,6,8,11,11,Computing
Alanna,Male,10,12,8,10,12,8,6,10,Law and public policy
Alayn,Male,10,9,12,9,10,10,7,8,Business and management
Alayne,Female,8,9,9,8,6,8,9,10,Law and public policy
alber,Male,7,6,11,12,11,11,9,6,Military and Security
Alberta,Female,6,11,7,11,11,9,7,8,Architecture & Construction Jobs
Albertina,Female,10,11,7,12,8,10,11,10,Communications
Albertine,Female,12,12,6,7,9,8,10,11,Health and medicine
albertso,Female,7,11,12,11,7,7,11,6,Business and management
Albina,Female,9,6,6,8,9,11,7,12,Education
alcoc,Male,6,6,11,12,12,7,9,8,Computing
alcock,Female,8,6,8,10,7,6,11,7,Communications
aldeburg,Female,9,11,8,10,8,7,10,10,Business and management
aldeburgh,Female,11,9,7,8,6,9,9,8,Engineering
alde,Female,9,11,8,7,11,11,7,7,Engineering
alde,Female,9,12,12,9,8,10,6,7,Architecture & Construction Jobs
alderso,Male,6,12,10,9,8,12,8,7,Education
aldgat,Male,11,8,9,10,8,11,12,11,Communications
aldre,Male,8,6,7,11,11,8,8,8,Education
aldridg,Female,8,7,6,7,10,12,11,12,Art
Alecia,Male,10,11,9,8,10,6,7,10,Architecture & Construction Jobs
Aleda,Female,7,8,10,9,10,7,10,12,Communications
Aleece,Male,10,10,8,11,7,8,6,8,Communications
Aleen,Male,12,11,10,9,12,6,6,11,Agriculture
Aleen,Female,11,10,9,10,10,10,11,10,Computing
Alejandra,Female,10,9,10,7,7,11,7,10,Education
Alejandrina,Male,6,9,12,9,12,11,12,12,Architecture & Construction Jobs
Alena,Male,12,8,10,12,9,9,12,10,Education
Alene,Female,6,6,6,10,7,11,10,12,Art
Alessandr,Female,11,6,7,6,12,12,7,10,Art
Alessandra,Female,9,11,7,10,6,8,9,8,Health and medicine
Aleta,Male,7,6,11,6,9,7,8,12,Engineering
Alethea,Male,8,10,10,7,10,10,7,12,Engineering
Alex,Female,12,12,10,9,7,6,11,11,Health and medicine
Alex,Female,6,8,8,7,12,12,6,7,Computing
Alexa,Female,12,7,6,9,9,7,8,6,Engineering
alexande,Male,11,9,12,12,12,11,11,9,Law and public policy
Alexandra,Male,12,10,12,6,12,10,10,10,Law and public policy
Alexandri,Male,8,6,6,10,11,12,7,10,Computing
Alexandrina,Female,10,11,8,7,10,12,8,6,Engineering
Alexi,Male,9,6,11,9,11,11,7,10,Computing
Alexi,Female,10,8,6,12,9,12,6,9,Health and medicine
Alexia,Male,10,7,12,6,6,7,12,11,Agriculture
Alexina,Male,10,9,10,11,12,9,9,8,Agriculture
Alexine,Female,12,12,12,7,11,7,9,9,Architecture & Construction Jobs
Alexis,Male,8,10,12,11,6,10,7,11,Architecture & Construction Jobs
Alexu,Female,10,12,7,8,7,7,7,8,Agriculture
Alfi,Female,9,9,6,10,6,10,11,7,Architecture & Construction Jobs
Alfie,Male,8,8,11,6,12,11,9,10,Architecture & Construction Jobs
alfor,Male,6,9,11,7,11,11,7,12,Architecture & Construction Jobs
Alfreda,Female,11,11,7,6,9,6,7,10,Military and Security
Alfy,Female,9,11,7,11,8,12,7,6,Agriculture
algat,Male,11,11,9,7,9,11,9,10,Engineering
alge,Male,11,12,8,7,6,7,12,8,Architecture & Construction Jobs
Al,Female,11,7,7,6,7,6,12,11,Engineering
Ali,Female,10,11,11,6,12,7,7,12,Computing
Alia,Female,9,6,6,12,6,6,10,8,Agriculture
Alian,Male,9,8,7,7,9,12,9,6,Law and public policy
Alica,Female,7,12,11,10,7,9,11,7,Military and Security
Alice,Male,7,11,11,9,9,12,9,10,Education
Alicea,Female,7,10,10,8,11,6,12,7,Agriculture
Alicia,Male,11,12,11,8,7,11,9,6,Education
Alida,Male,12,7,8,10,8,11,8,6,Education
Alidia,Female,10,11,7,10,7,6,11,7,Architecture & Construction Jobs
Alie,Female,8,12,10,12,10,11,12,10,Military and Security
Alika,Male,10,12,12,8,9,6,12,12,Health and medicine
Alikee,Male,11,7,7,11,7,11,8,8,Health and medicine
Alina,Male,11,10,8,8,8,12,11,12,Computing
Aline,Female,6,7,11,8,6,11,11,6,Architecture & Construction Jobs
Alis,Female,6,12,9,9,10,9,7,12,Engineering
Alis,Female,12,7,6,7,9,9,7,10,Health and medicine
Alisa,Male,10,6,10,6,11,10,7,10,Agriculture
Alisha,Female,10,8,8,8,7,8,12,10,Art
aliso,Male,9,8,10,10,9,7,6,6,Engineering
Alison,Female,9,11,6,8,12,12,10,11,Law and public policy
Alissa,Female,9,10,7,8,9,8,6,11,Architecture & Construction Jobs
Alisun,Female,9,9,12,7,10,12,11,7,Communications
Alix,Male,9,11,11,11,9,12,12,7,Law and public policy
Aliy,Female,8,8,11,8,6,10,11,6,Engineering
Aliza,Male,6,8,10,6,6,6,9,8,Education
alkringto,Male,11,10,6,8,9,11,11,11,Military and Security
Alla,Male,12,6,9,7,12,7,7,10,Engineering
alla,Female,11,11,8,12,6,10,12,10,Computing
allanb,Female,8,6,12,6,11,8,9,10,Communications
allar,Female,11,11,6,11,12,9,6,7,Computing
allaso,Female,10,6,8,7,8,8,9,12,Education
allcoc,Male,11,10,12,10,12,10,9,10,Military and Security
Alleen,Male,12,12,9,11,11,7,10,11,Law and public policy
Allegra,Male,6,9,10,8,7,9,12,8,Business and management
Allema,Male,9,12,11,12,12,6,8,6,Art
alle,Male,9,6,8,6,12,7,8,7,Art
Alle,Male,9,6,8,10,12,10,10,11,Art
Allene,Female,9,11,10,8,7,8,12,7,Law and public policy
alle,Female,8,7,12,9,7,9,9,7,Communications
allgreen-ussin,Female,9,8,7,9,7,11,10,7,Architecture & Construction Jobs
Alli,Female,12,9,8,10,6,7,12,9,Art
Allianora,Female,7,12,7,11,6,11,7,9,Engineering
Allie,Female,10,6,7,10,11,7,11,6,Military and Security
Allina,Female,8,9,7,11,7,8,6,10,Business and management
Allis,Female,10,12,9,11,9,7,9,11,Engineering
alliso,Female,10,11,8,8,8,6,11,9,Health and medicine
Alliso,Male,7,11,11,8,11,11,12,6,Law and public policy
Allison,Male,6,9,11,12,10,6,12,9,Agriculture
Allissa,Male,9,11,8,11,8,11,12,10,Engineering
alli,Female,12,10,10,6,12,11,8,10,Communications
Allix,Female,7,11,8,10,7,6,10,6,Computing
allo,Female,10,9,11,10,7,11,10,6,Education
allso,Female,7,11,11,12,10,11,11,8,Education
Allsun,Female,6,10,12,10,12,11,6,10,Health and medicine
allu,Male,12,10,10,11,12,8,6,10,Communications
Allx,Male,12,11,8,12,9,10,6,7,Business and management
Ally,Female,6,9,8,6,11,7,10,8,Communications
Allyce,Male,8,6,12,11,6,9,12,9,Art
Allyn,Male,7,8,12,6,7,9,11,7,Computing
Allys,Male,12,12,11,6,11,9,12,12,Art
Allyson,Female,12,11,9,11,10,11,10,10,Computing
Alma,Female,10,12,11,11,10,11,9,8,Communications
Almeda,Female,10,9,6,12,11,7,9,8,Law and public policy
Almeria,Female,12,11,8,6,6,7,12,8,Architecture & Construction Jobs
Almeta,Female,11,6,11,7,11,12,12,8,Computing
Almira,Male,11,8,8,12,9,9,7,8,Engineering
Almire,Female,12,8,11,7,12,6,8,10,Agriculture
almon,Female,8,12,8,8,10,10,11,10,Communications
Aloise,Female,11,9,9,8,10,7,8,12,Art
Aloisia,Male,12,7,11,11,7,9,12,8,Art
Aloysia,Male,12,8,10,7,7,6,9,9,Communications
alsop,Male,7,9,6,8,12,10,9,9,Law and public policy
Alta,Female,8,12,9,11,8,10,9,12,Agriculture
altenhei,Female,7,6,8,9,11,8,6,11,Military and Security
altha,Female,7,12,11,8,7,8,7,10,Agriculture
Althea,Female,9,10,8,8,7,11,6,6,Engineering
Altier,Male,10,12,11,6,12,6,10,6,Military and Security
alva,Male,11,11,8,11,6,8,9,7,Computing
Alvarad,Female,12,8,10,10,10,12,8,8,Agriculture
Alvare,Female,12,10,12,8,7,6,10,8,Computing
Alvera,Female,7,8,9,6,6,11,12,12,Engineering
alverso,Female,6,8,7,12,10,6,6,9,Military and Security
Alverta,Female,12,9,6,10,6,12,9,10,Computing
alvesto,Female,12,11,8,8,9,8,9,6,Engineering
Alvi,Male,6,10,6,12,11,6,6,10,Law and public policy
Alvina,Male,10,7,11,12,10,6,6,12,Computing
Alvinia,Male,12,6,8,8,6,7,10,11,Law and public policy
Alvira,Female,9,7,8,6,8,12,6,12,Military and Security
alwoo,Male,7,9,10,9,11,8,10,11,Military and Security
Alyce,Female,7,9,11,10,7,8,10,9,Engineering
Alyda,Male,7,12,11,9,10,6,6,10,Agriculture
Alys,Female,11,9,11,6,12,11,8,7,Art
Alysa,Male,12,11,8,6,10,7,11,9,Communications
Alyse,Female,9,6,10,6,12,9,10,8,Computing
Alysia,Female,6,7,9,8,6,6,6,6,Art
Alyson,Female,8,7,12,9,6,9,12,8,Military and Security
Alyss,Female,12,6,9,11,12,9,9,7,Architecture & Construction Jobs
Alyss,Female,12,11,7,9,9,12,6,10,Law and public policy
Alyssa,Male,6,12,11,10,7,8,12,10,Education
Amabel,Female,6,7,10,7,8,9,6,9,Communications
Amabelle,Male,6,9,11,8,11,6,8,10,Law and public policy
Amalea,Male,10,9,11,9,9,7,8,6,Communications
Amalee,Female,6,7,7,10,7,7,6,9,Computing
Amaleta,Female,7,12,10,9,9,11,7,9,Engineering
Amalia,Male,8,8,12,8,8,12,12,7,Architecture & Construction Jobs
Amalie,Male,7,9,8,7,7,7,8,10,Computing
Amalita,Male,12,9,10,8,6,7,9,7,Military and Security
Amalle,Male,6,7,10,12,6,6,12,6,Law and public policy
Amand,Female,6,6,10,10,7,6,12,6,Communications
Amanda,Female,6,7,6,10,9,11,11,6,Business and management
Amandi,Male,6,7,10,7,12,10,7,8,Architecture & Construction Jobs
Amandie,Female,10,11,8,6,8,7,11,9,Law and public policy
Amandy,Female,6,6,8,12,12,8,12,11,Agriculture
Amara,Female,11,6,7,9,12,10,11,7,Health and medicine
Amargo,Female,7,9,6,11,9,9,11,7,Health and medicine
Amar,Male,10,12,7,7,8,9,12,11,Education
Amari,Male,6,11,7,8,6,6,8,6,Agriculture
Amata,Female,8,8,11,7,8,6,9,10,Architecture & Construction Jobs
Amber,Male,12,12,7,6,6,10,12,12,Military and Security
Amberly,Male,12,9,6,11,6,9,7,11,Communications
amble,Male,7,11,10,12,9,12,6,9,Agriculture
ambros,Female,10,6,7,11,6,7,8,7,Health and medicine
Ambur,Female,6,11,12,7,8,11,8,9,Military and Security
Ame,Female,12,6,11,7,8,9,7,8,Engineering
Ame,Female,7,9,9,8,7,6,11,11,Education
Amelia,Female,11,8,12,6,6,10,7,7,Agriculture
Amelie,Male,6,12,6,6,6,7,8,11,Education
Amelina,Male,6,8,8,11,7,12,6,9,Education
Ameline,Female,6,6,12,12,6,11,6,8,Business and management
Amelita,Male,7,9,12,10,10,11,6,8,Communications
Americ,Female,12,11,7,12,11,9,8,9,Engineering
amer,Male,12,8,12,12,7,8,6,9,Communications
ame,Female,9,11,11,7,9,12,6,9,Military and Security
amesbur,Female,12,12,7,12,9,12,9,9,Agriculture
Ami,Female,8,8,12,8,10,8,8,11,Engineering
Amie,Female,11,11,11,12,12,9,7,6,Health and medicine
Amii,Male,12,9,9,6,8,10,7,9,Architecture & Construction Jobs
Amil,Female,7,6,12,7,9,6,6,12,Agriculture
Amir,Male,11,11,9,7,8,7,7,9,Law and public policy
ami,Female,10,6,7,11,8,8,12,12,Business and management
Amitie,Male,9,10,11,11,10,8,9,6,Agriculture
Amity,Male,10,11,12,7,7,9,7,7,Law and public policy
Amiy,Female,11,12,12,7,9,10,11,10,Architecture & Construction Jobs
Ammamaria,Male,8,9,12,11,11,11,8,12,Architecture & Construction Jobs
ammon,Male,6,7,12,12,8,8,11,8,Agriculture
amo,Female,10,7,6,11,8,10,10,8,Law and public policy
amphlet,Male,11,9,9,11,6,10,8,12,Computing
amundso,Male,11,7,11,11,8,9,10,10,Education
Amy,Female,7,6,8,8,11,6,7,10,Health and medicine
Amye,Male,12,12,6,11,9,12,12,12,Engineering
An,Male,9,11,9,11,7,8,12,6,Agriculture
Ana,Male,10,7,8,7,9,11,11,8,Education
Anabal,Female,8,10,10,10,11,6,10,8,Art
Anabel,Male,12,11,8,7,6,12,9,10,Military and Security
Anabella,Female,7,12,6,6,12,6,10,10,Business and management
Anabelle,Female,6,9,11,9,10,12,9,10,Architecture & Construction Jobs
Anah,Female,7,12,10,10,9,11,7,6,Education
Analiese,Male,11,12,12,8,6,10,12,7,Military and Security
Analise,Male,7,11,10,10,6,8,7,10,Education
Anallese,Male,12,8,7,7,12,11,10,6,Education
Anallise,Male,8,8,6,7,10,9,7,8,Art
Anastasi,Female,9,8,12,12,10,12,12,9,Architecture & Construction Jobs
Anastasia,Female,9,12,10,9,7,12,12,10,Art
Anastasie,Male,6,6,11,11,7,7,11,10,Engineering
Anastassia,Male,12,9,7,10,6,9,8,6,Communications
Anatola,Female,7,12,9,6,10,8,7,10,Health and medicine
Andee,Female,6,12,8,7,11,9,10,10,Education
Andeee,Male,10,9,9,10,9,7,10,6,Military and Security
Anderea,Female,11,11,7,6,12,9,12,10,Architecture & Construction Jobs
Anderse,Female,7,9,7,6,9,11,7,12,Business and management
anderso,Female,10,7,11,8,11,9,6,7,Architecture & Construction Jobs
Anderso,Male,6,9,10,7,7,11,6,7,Architecture & Construction Jobs
anderto,Male,8,7,7,8,9,6,7,8,Military and Security
Andi,Female,8,12,11,9,10,8,12,11,Communications
Andie,Male,9,7,9,6,12,9,11,12,Communications
Andra,Female,9,6,7,12,12,6,9,10,Agriculture
Andrad,Female,7,8,9,6,9,6,7,9,Communications
Andre,Female,9,11,9,9,7,9,11,8,Art
Andrea,Female,9,11,10,11,10,6,6,12,Engineering
Andreana,Female,12,12,6,10,10,10,12,6,Education
Andree,Male,9,7,7,9,11,12,11,9,Communications
Andrei,Male,10,12,8,6,9,12,6,9,Business and management
Andre,Male,9,9,6,6,7,9,11,11,Communications
andre,Male,6,7,12,9,12,10,10,8,Communications
andrew,Female,7,8,6,9,8,6,8,10,Law and public policy
andrew,Female,8,10,11,7,7,11,7,11,Business and management
Andrew,Female,6,8,10,7,11,10,11,10,Agriculture
Andria,Male,10,10,7,6,11,7,6,8,Education
Andriana,Male,12,6,6,6,9,9,9,6,Engineering
andriese,Female,9,7,11,7,9,12,7,7,Business and management
Andriette,Male,7,10,10,6,8,9,8,10,Agriculture
Andromache,Male,8,6,7,11,7,7,12,9,Art
Andy,Female,7,8,12,6,10,7,6,12,Military and Security
Anestassia,Female,6,12,10,10,10,8,9,10,Education
Anet,Male,9,11,9,7,9,9,9,8,Agriculture
Anett,Male,7,12,10,7,8,6,9,10,Art
Anetta,Female,12,11,12,9,10,6,6,9,Engineering
Anette,Male,8,9,8,7,9,11,11,6,Computing
Ange,Male,7,9,6,6,11,10,6,6,Law and public policy
Angel,Female,8,8,11,11,12,6,11,11,Health and medicine
Angel,Male,7,8,9,11,8,8,7,7,Military and Security
Angela,Male,9,6,7,7,9,7,8,7,Business and management
Angele,Male,9,6,6,6,7,12,11,11,Agriculture
Angelia,Female,8,8,9,11,8,10,12,11,Military and Security
Angelic,Male,10,6,12,12,7,11,11,10,Art
Angelica,Female,9,11,6,12,12,6,6,12,Communications
Angelika,Female,11,10,7,12,11,7,7,7,Communications
Angelin,Male,12,6,8,10,12,11,12,7,Communications
Angelina,Female,9,8,9,6,11,6,12,11,Architecture & Construction Jobs
Angelin,Female,11,12,7,7,11,6,12,7,Business and management
Angeline,Female,7,6,7,9,12,10,11,11,Law and public policy
Angeliqu,Female,12,6,7,12,12,12,9,10,Law and public policy
Angelique,Female,11,12,7,11,9,8,12,7,Agriculture
Angelita,Male,9,11,7,7,7,10,10,9,Law and public policy
Angelle,Female,7,8,8,7,10,10,12,7,Education
Angely,Female,12,10,10,11,10,11,9,7,Computing
Angi,Male,7,8,6,7,8,11,12,12,Law and public policy
Angie,Male,11,8,7,10,9,7,7,12,Agriculture
Angil,Female,6,6,6,7,8,8,7,6,Computing
angoulem,Male,10,10,6,9,9,7,12,9,Business and management
angu,Male,6,8,12,12,10,6,9,8,Art
Angy,Male,8,10,8,8,7,6,11,7,Agriculture
Ania,Female,9,12,12,8,10,9,9,12,Law and public policy
Anica,Female,7,6,7,11,11,12,10,11,Computing
Anik,Female,8,8,11,8,11,8,7,10,Law and public policy
Anissa,Female,12,12,10,12,10,9,9,6,Agriculture
Anita,Male,8,7,11,10,11,6,7,11,Health and medicine
Anitr,Male,6,11,12,10,8,12,6,8,Engineering
Anitra,Male,12,11,12,10,8,8,10,11,Military and Security
Anjanette,Male,9,8,12,6,10,10,7,6,Engineering
Anjela,Female,11,9,11,11,8,11,6,10,Engineering
anker,Male,10,10,12,6,9,9,6,8,Health and medicine
an,Male,7,8,6,9,11,11,7,10,Computing
An,Male,10,9,10,11,7,10,11,6,Engineering
Ann,Female,8,7,12,11,11,8,9,11,Education
Ann,Male,11,9,12,8,6,9,7,6,Business and management
Anna,Female,7,7,12,7,7,12,11,11,Health and medicine
Annabal,Female,11,11,11,11,8,8,10,10,Art
Annabe,Female,10,6,10,6,9,9,7,12,Business and management
Annabel,Female,8,10,11,12,6,10,7,9,Health and medicine
Annabela,Male,11,8,9,9,11,7,11,12,Communications
Annabell,Female,11,6,12,12,6,10,11,8,Education
Annabella,Female,10,9,12,11,9,10,10,9,Health and medicine
Annabelle,Female,11,7,8,6,8,8,12,9,Architecture & Construction Jobs
annabl,Male,9,10,12,12,10,7,8,10,Health and medicine
Annadiana,Male,10,9,8,8,6,6,8,12,Computing
Anna-Diana,Female,7,12,7,11,7,7,11,6,Computing
Annadiane,Male,10,12,11,7,7,7,9,9,Architecture & Construction Jobs
Anna-Diane,Male,7,7,6,10,9,9,12,7,Art
Annalee,Female,12,10,8,12,10,6,7,6,Education
Annaliese,Male,11,9,7,10,11,10,11,12,Engineering
Annalise,Male,12,10,10,9,8,6,10,7,Education
Annamaria,Female,8,11,11,7,6,8,10,11,Computing
Anna-Maria,Male,7,8,11,7,12,9,6,9,Military and Security
Annamarie,Female,6,6,7,6,8,10,9,7,Military and Security
annan,Male,7,9,9,10,6,7,8,9,Education
ann,Male,12,12,12,11,11,8,6,11,Education
Anne,Female,9,9,10,9,6,9,8,6,Military and Security
Annecorinne,Male,8,7,8,12,12,8,9,7,Education
